dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
BS-FP8(E5M2),6144,2048,61440,imbalanced,964,15360,3840.0,2583760.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,122880,uniform,7680,7680,7680.0,2488210.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,122880,imbalanced,1933,30720,7680.0,2559430.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,245760,uniform,15360,15360,15360.0,2340670.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,245760,imbalanced,3867,61440,15360.0,2175050.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,491520,uniform,30720,30720,30720.0,2074020.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,491520,imbalanced,7737,122880,30720.0,1837460.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,30720,uniform,1920,1920,1920.0,2813880.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,30720,imbalanced,480,7680,1920.0,2811580.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,61440,uniform,3840,3840,3840.0,2631380.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,61440,imbalanced,988,15360,3840.0,2500440.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,122880,uniform,7680,7680,7680.0,2409030.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,122880,imbalanced,1921,30720,7680.0,1982760.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,245760,uniform,15360,15360,15360.0,2097080.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,245760,imbalanced,3840,61440,15360.0,1838260.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,491520,uniform,30720,30720,30720.0,1884670.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),4096,6144,491520,imbalanced,7768,122880,30720.0,1647740.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,30720,uniform,1920,1920,1920.0,2666850.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,30720,imbalanced,480,7680,1920.0,2748460.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,61440,uniform,3840,3840,3840.0,2769540.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,61440,imbalanced,963,15360,3840.0,2757110.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,122880,uniform,7680,7680,7680.0,2593670.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,122880,imbalanced,1936,30720,7680.0,2611150.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,245760,uniform,15360,15360,15360.0,2372990.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,245760,imbalanced,4011,61440,15360.0,2263750.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,491520,uniform,30720,30720,30720.0,2111040.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3xE5M2),6144,2048,491520,imbalanced,7738,122880,30720.0,1866240.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,30720,uniform,1920,1920,1920.0,2808490.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,30720,imbalanced,480,7680,1920.0,2787240.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,61440,uniform,3840,3840,3840.0,2755790.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,61440,imbalanced,962,15360,3840.0,2291740.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,122880,uniform,7680,7680,7680.0,2479130.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,122880,imbalanced,1991,30720,7680.0,2073540.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,245760,uniform,15360,15360,15360.0,2108860.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,245760,imbalanced,3850,61440,15360.0,1752760.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,491520,uniform,30720,30720,30720.0,1892290.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),4096,6144,491520,imbalanced,7683,122880,30720.0,1675830.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,30720,uniform,1920,1920,1920.0,2686300.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,30720,imbalanced,487,7680,1920.0,2623410.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,61440,uniform,3840,3840,3840.0,2688610.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,61440,imbalanced,972,15360,3840.0,2837270.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_bf16_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,122880,uniform,7680,7680,7680.0,2509850.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,122880,imbalanced,1921,30720,7680.0,2495240.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,245760,uniform,15360,15360,15360.0,2412200.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,245760,imbalanced,3840,61440,15360.0,2184240.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,491520,uniform,30720,30720,30720.0,2131760.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2xE4M3),6144,2048,491520,imbalanced,7709,122880,30720.0,1916220.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
