dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
FP8-E4M3,6144,2048,491520,imbalanced,7737,122880,30720.0,2074860.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BF16,4096,6144,30720,uniform,1920,1920,1920.0,1633110.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,4096,6144,30720,imbalanced,480,7680,1920.0,1590690.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,4096,6144,61440,uniform,3840,3840,3840.0,1515740.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,4096,6144,61440,imbalanced,988,15360,3840.0,1390090.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,4096,6144,122880,uniform,7680,7680,7680.0,1352510.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,4096,6144,122880,imbalanced,1921,30720,7680.0,1222000.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,4096,6144,245760,uniform,15360,15360,15360.0,1179440.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,4096,6144,245760,imbalanced,3840,61440,15360.0,948431.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,4096,6144,491520,uniform,30720,30720,30720.0,1229860.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,4096,6144,491520,imbalanced,7768,122880,30720.0,908145.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,6144,2048,30720,uniform,1920,1920,1920.0,1635420.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,6144,2048,30720,imbalanced,480,7680,1920.0,1633090.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,6144,2048,61440,uniform,3840,3840,3840.0,1729830.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,6144,2048,61440,imbalanced,963,15360,3840.0,1630030.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,6144,2048,122880,uniform,7680,7680,7680.0,1551270.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,6144,2048,122880,imbalanced,1936,30720,7680.0,1334650.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,6144,2048,245760,uniform,15360,15360,15360.0,1400510.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,6144,2048,245760,imbalanced,4011,61440,15360.0,1179990.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,6144,2048,491520,uniform,30720,30720,30720.0,1256830.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,6144,2048,491520,imbalanced,7738,122880,30720.0,1065710.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
