mode,Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs,mfu
dgrad,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm,passed,success,universal,7168,9216,4096,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,2,1,2,1,1,6,4,1,1,256,256,16,100,110,134217728,541297999872,4032,0.299667,417.129,1806330.0,0.722532
wgrad,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm,passed,success,universal,4096,7168,7168,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,1,1,2,1,1,6,4,1,1,256,256,16,100,110,161480704,420965515264,2606,0.237811,632.395,1770170.0,0.708068
dgrad,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_bf16_bf16_256x256x64_2x1x1_0_tnt_align8_stream_k_2sm,passed,success,universal,5120,155136,8192,bf16:row,bf16:column,bf16:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,1,1,2,1,1,5,4,1,1,256,256,16,100,110,4214226944,13015339499520,3088,7.97812,491.946,1631380.0,0.652552
fwd,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm,passed,success,universal,4096,7168,7168,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,1,1,2,1,1,6,4,1,1,256,256,16,100,110,161480704,420965515264,2606,0.23943,628.118,1758200.0,0.70328
wgrad,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm,passed,success,universal,8192,7168,7168,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,1,1,2,1,1,6,4,1,1,256,256,16,100,110,220200960,841931030528,3823,0.476368,430.504,1767400.0,0.70696
fwd,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_0x0x1_0_tnt_align8_2sm,passed,success,universal,8192,7168,5120,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,1,1,2,1,1,6,4,1,1,256,256,16,100,110,157286400,601412861952,3823,0.33449,437.934,1798000.0,0.7192
wgrad_accum,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_f32_f32_256x256x64_0x0x1_0_tnt_align8_2sm,passed,success,universal,8192,7168,7168,bf16:row,bf16:column,f32:row,f32:row,1,1,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,1,1,2,1,1,5,4,1,1,256,256,16,100,110,689963008,841931030528,1220,0.507338,1266.57,1659510.0,0.663804
fwd,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_stream_k_2sm,passed,success,universal,4096,5120,5120,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,2,1,2,1,1,6,4,1,1,256,256,16,100,110,94371840,214790307840,2276,0.126102,696.978,1703300.0,0.68132
dgrad,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_4x1x1_0_tnt_align8_2sm,passed,success,universal,5120,7168,8192,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,4,1,1,2,1,1,6,4,1,1,256,256,16,100,110,201326592,601368821760,2987,0.350944,534.273,1713570.0,0.685428
wgrad,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm,passed,success,universal,8192,7168,9216,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,1,1,2,1,1,6,4,1,1,256,256,16,100,110,283115520,1082449199104,3823,0.613018,430.121,1765770.0,0.706308
wgrad_accum,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_f32_f32_256x256x64_2x2x1_0_tnt_align8_2sm,passed,success,universal,8192,5120,5120,bf16:row,bf16:column,f32:row,f32:row,1,1,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,2,1,2,1,1,5,4,1,1,256,256,16,100,110,471859200,429580615680,910,0.269334,1631.63,1594970.0,0.637988
wgrad_accum,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_f32_f32_256x256x64_0x0x1_0_tnt_align8_2sm,passed,success,universal,8192,7168,9216,bf16:row,bf16:column,f32:row,f32:row,1,1,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,1,1,2,1,1,5,4,1,1,256,256,16,100,110,752877568,1082449199104,1437,0.643702,1089.28,1681600.0,0.67264
wgrad,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_4x1x1_0_tnt_align8_2sm,passed,success,universal,8192,5120,7168,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,4,1,1,2,1,1,6,4,1,1,256,256,16,100,110,190840832,601379307520,3151,0.342138,519.482,1757710.0,0.703084
wgrad,1,CUTLASS,gemm,cutlass3x_sm100_tensorop_gemm_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_stream_k_2sm,passed,success,universal,4096,5120,5120,bf16:row,bf16:column,void:row,bf16:row,1,0,serial,1,1,heuristic,invalid,invalid,False,False,8,tensorop,f32,256,256,64,2,2,1,2,1,1,6,4,1,1,256,256,16,100,110,94371840,214790307840,2276,0.126483,694.88,1698170.0,0.679268
