dtype,config,n,k,tokens,dist,min_m,max_m,avg_m,cluster_m,cluster_n,raster,max_sm,use_pdl,gflops_1sm,gflops_2sm,gflops,kernel
RCGrouped-bf16,2SM,3072,5120,65536,uniform,682,683,682.6666666666666,4,2,M,-1,0,1079140.0,1132690.0,1132690.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,4,2,M,-1,1,1092010.0,1129880.0,1129880.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,uniform,682,683,682.6666666666666,4,2,M,-1,1,1092010.0,1129880.0,1129880.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,1,1,M,-1,0,1262010.0,0.0,1262010.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,1,1,M,-1,1,1264980.0,0.0,1264980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,0,1260740.0,1441420.0,1441420.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,0,1260740.0,1441420.0,1441420.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,1,1263220.0,1443030.0,1443030.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,1,1263220.0,1443030.0,1443030.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,0,1114260.0,1247750.0,1247750.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,0,1114260.0,1247750.0,1247750.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,1,1145310.0,1246810.0,1246810.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,1,1145310.0,1246810.0,1246810.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,0,1037180.0000000001,1195600.0,1195600.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,0,1037180.0000000001,1195600.0,1195600.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,1,1049480.0,1198420.0,1198420.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,1,1049480.0,1198420.0,1198420.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,1,1,M,-1,0,1008710.0,0.0,1008710.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,1,1,M,-1,1,1009140.0,0.0,1009140.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,1,M,-1,0,1008710.0,1011530.0,1011530.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,1,M,-1,0,1008710.0,1011530.0,1011530.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,1,M,-1,1,1009460.0,1019980.0,1019980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,1,M,-1,1,1009460.0,1019980.0,1019980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,2,M,-1,0,821616.0,1077180.0,1077180.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,2,M,-1,0,821616.0,1077180.0,1077180.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,2,M,-1,1,821463.0,1078030.0,1078030.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,2,M,-1,1,821463.0,1078030.0,1078030.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,4,2,M,-1,0,771898.0,1076190.0,1076190.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,4,2,M,-1,0,771898.0,1076190.0,1076190.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,4,2,M,-1,1,774119.0,1071270.0,1071270.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,4,2,M,-1,1,774119.0,1071270.0,1071270.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,1,1,M,-1,0,979021.0,0.0,979021.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,1,1,M,-1,1,980131.0,0.0,980131.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,2,1,M,-1,0,977807.0,1117210.0,1117210.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,2,1,M,-1,0,977807.0,1117210.0,1117210.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,2,1,M,-1,1,981665.0,1122510.0,1122510.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,2,1,M,-1,1,981665.0,1122510.0,1122510.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,2,2,M,-1,0,863020.0,834828.0,863020.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,2,2,M,-1,0,863020.0,834828.0,834828.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,2,2,M,-1,1,867385.0,840874.0,867385.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,2,2,M,-1,1,867385.0,840874.0,840874.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,4,2,M,-1,0,796344.0,829960.0,829960.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,4,2,M,-1,0,796344.0,829960.0,829960.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,4,2,M,-1,1,794578.0,830101.0,830101.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,imbalanced,85,1364,341.3333333333333,4,2,M,-1,1,794578.0,830101.0,830101.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,uniform,682,683,682.6666666666666,1,1,M,-1,0,1069520.0,0.0,1069520.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,uniform,682,683,682.6666666666666,1,1,M,-1,1,1076310.0,0.0,1076310.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,uniform,682,683,682.6666666666666,2,1,M,-1,0,1070310.0,1518970.0,1518970.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,uniform,682,683,682.6666666666666,2,1,M,-1,0,1070310.0,1518970.0,1518970.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,uniform,682,683,682.6666666666666,2,1,M,-1,1,1074280.0,1523140.0,1523140.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,uniform,682,683,682.6666666666666,2,1,M,-1,1,1074280.0,1523140.0,1523140.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,uniform,682,683,682.6666666666666,2,2,M,-1,0,1110600.0,1182280.0,1182280.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,uniform,682,683,682.6666666666666,2,2,M,-1,0,1110600.0,1182280.0,1182280.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,uniform,682,683,682.6666666666666,2,2,M,-1,1,1114620.0,1184120.0,1184120.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,uniform,682,683,682.6666666666666,2,2,M,-1,1,1114620.0,1184120.0,1184120.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,uniform,682,683,682.6666666666666,4,2,M,-1,0,1047920.0000000001,1125370.0,1125370.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,uniform,682,683,682.6666666666666,4,2,M,-1,0,1047920.0000000001,1125370.0,1125370.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,uniform,682,683,682.6666666666666,4,2,M,-1,1,1023130.0,1124350.0,1124350.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,uniform,682,683,682.6666666666666,4,2,M,-1,1,1023130.0,1124350.0,1124350.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,1,1,M,-1,0,1115680.0,0.0,1115680.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,1,1,M,-1,1,1120270.0,0.0,1120270.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,0,1111160.0,1447430.0,1447430.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,0,1111160.0,1447430.0,1447430.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,1,1116230.0,1449300.0,1449300.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,1,1116230.0,1449300.0,1449300.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,0,1093080.0,1217190.0,1217190.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,0,1093080.0,1217190.0,1217190.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,1,1073240.0,1219350.0,1219350.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,1,1073240.0,1219350.0,1219350.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,0,1024910.0000000001,1170710.0,1170710.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,0,1024910.0000000001,1170710.0,1170710.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,1,1009770.0,1163730.0,1163730.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,1,1009770.0,1163730.0,1163730.0,92_blackwell_moe_gemm_rcgrouped
