dtype,config,n,k,tokens,dist,min_m,max_m,avg_m,cluster_m,cluster_n,raster,max_sm,use_pdl,gflops_1sm,gflops_2sm,gflops,kernel
RCGrouped-FP8,1SM,4096,6144,61440,imbalanced,968,15360,3840.0,4,2,M,-1,1,2512950.0,3354200.0,3354200.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,imbalanced,968,15360,3840.0,4,2,M,-1,1,2512950.0,3354200.0,3354200.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,uniform,7680,7680,7680.0,1,1,M,-1,0,2750250.0,0.0,2750250.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,uniform,7680,7680,7680.0,1,1,M,-1,1,2746650.0,0.0,2746650.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,uniform,7680,7680,7680.0,2,1,M,-1,0,2737990.0,3434150.0,3434150.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,uniform,7680,7680,7680.0,2,1,M,-1,0,2737990.0,3434150.0,3434150.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,uniform,7680,7680,7680.0,2,1,M,-1,1,2761250.0,3474270.0,3474270.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,uniform,7680,7680,7680.0,2,1,M,-1,1,2761250.0,3474270.0,3474270.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,uniform,7680,7680,7680.0,2,2,M,-1,0,2535080.0,3430940.0,3430940.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,uniform,7680,7680,7680.0,2,2,M,-1,0,2535080.0,3430940.0,3430940.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,uniform,7680,7680,7680.0,2,2,M,-1,1,2537150.0,3442580.0,3442580.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,uniform,7680,7680,7680.0,2,2,M,-1,1,2537150.0,3442580.0,3442580.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,uniform,7680,7680,7680.0,4,2,M,-1,0,2537210.0,3431280.0,3431280.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,uniform,7680,7680,7680.0,4,2,M,-1,0,2537210.0,3431280.0,3431280.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,uniform,7680,7680,7680.0,4,2,M,-1,1,2621170.0,3440610.0,3440610.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,uniform,7680,7680,7680.0,4,2,M,-1,1,2621170.0,3440610.0,3440610.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,imbalanced,2048,30720,7680.0,1,1,M,-1,0,2723540.0,0.0,2723540.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,imbalanced,2048,30720,7680.0,1,1,M,-1,1,2741570.0,0.0,2741570.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,imbalanced,2048,30720,7680.0,2,1,M,-1,0,2727520.0,3443450.0,3443450.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,imbalanced,2048,30720,7680.0,2,1,M,-1,0,2727520.0,3443450.0,3443450.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,imbalanced,2048,30720,7680.0,2,1,M,-1,1,2714960.0,3466290.0,3466290.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,imbalanced,2048,30720,7680.0,2,1,M,-1,1,2714960.0,3466290.0,3466290.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,imbalanced,2048,30720,7680.0,2,2,M,-1,0,2567840.0,3359190.0,3359190.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,imbalanced,2048,30720,7680.0,2,2,M,-1,0,2567840.0,3359190.0,3359190.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,imbalanced,2048,30720,7680.0,2,2,M,-1,1,2521480.0,3363200.0,3363200.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,imbalanced,2048,30720,7680.0,2,2,M,-1,1,2521480.0,3363200.0,3363200.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,122880,imbalanced,2048,30720,7680.0,4,2,M,-1,0,2553810.0,3403480.0,3403480.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,imbalanced,2048,30720,7680.0,4,2,M,-1,0,2553810.0,3403480.0,3403480.0,92_blackwell_moe_gemm_rcgrouped
